psraid,cregion,fips,state,kidage,kidgen,age,educ,income,playgame,k17game,k28game
16478,3,51019,51,16,2,50,5,8,1,"GUITAR HERO, ROCK BAND, SOLITAIRE",
904,3,51183,51,13,1,45,5,1,1," STAR WARS: EMPIRE AT WAR, STAR WARS KNIGHTS OF THE OLD REPUBLIC 2: THE SITH LORDS, HALO 2",
5679,3,51003,51,13,1,44,7,9,1,"FOOTBALL, SOCCER, FINAL FANTASY",
11824,3,51003,51,17,1,42,3,6,1,"HALO 3, NBA2K8, ASSASSIN'S CREED",EDUCATIONAL COMPUTER GAME.
4713,3,51003,51,17,1,51,7,8,0,,
16378,4,49051,49,13,2,36,7,5,1,"TORTUGA, THE SIMS, AGE OF EMPIRES",
3676,4,49005,49,17,1,43,5,7,1,"GUITAR HERO, ZELDA, SUPER MARIO GALAXY",
9881,2,39035,39,15,1,52,3,6,1,"GEARS OF WAR, DEAD RISING, HALO 3",
2216,2,39085,39,15,2,53,7,6,1,"WEBKINZ, AMERICAN GIRL, PACMAN",
3993,2,39093,39,13,2,60,3,4,1,"GUITAR HERO, GRAND THEFT AUTO RACING GAME",
18922,2,39035,39,15,2,51,6,9,1,"TETRIS, SOLITAIRE, GUITAR HERO 2",
3942,2,39093,39,14,2,49,5,6,1,"CHECKERS, ZOOTY ZOON, SIMS2",
17799,2,39035,39,17,2,59,7,3,1,"SOLITARE, ARCADE LINES",
16445,2,39035,39,15,1,52,6,6,1,"GUITAR HERO, HALO, BURNOUT",
693,2,39007,39,15,1,39,5,6,1,"WORLD OF WAR CRAFT, GUNZ, DEAD OR ALIVE",
14688,3,24027,24,17,2,47,7,8,1,"SOLO, TETRIS, BEJEWEL",
7418,3,48121,48,12,2,42,4,6,1,"HARVEST MOON, ICE AGE,  SPYRO",NOT SURE OF THE NAME
9390,3,13153,13,17,1,37,5,6,1,"GUITAR HERO, CALL OF DUTY FOUR, HALO",DON'T KNOW
16473,3,13175,13,13,2,41,6,8,1,"WII...TENNIS GAME, BOWLING GAME, FIGHTING GAME.",IT WAS FOR A COMPUTER CLASS...HOW TO MAKE A LEMONADE.
16448,3,13169,13,13,1,37,6,5,1,"BROTHER IN ARM, HALO 02, CALL OF DUTY 03",MATH BLASTER
7690,3,5007,5,17,2,41,7,7,1,"GUITAR HERO, WII SPORTS",
6936,3,5131,5,15,1,48,3,6,1,"MADDEN 08, NCAA 08, TIGER WOODS 08",
3623,4,4013,4,13,1,38,4,8,1,,
16418,4,4013,4,12,1,48,6,8,1,"TDRISTEN CITY, MADDEN, ROCK BAND",
16421,4,4013,4,14,2,48,6,6,0,,
16369,4,4013,4,16,1,57,5,4,1,"NATION SCAPE, EMPEROR EARTH 2,THE SIMS CITY 4",
3449,1,42045,42,15,1,40,6,4,1,"HEARTS TWO, NBA LIVE, MADDEN",
16768,3,5051,5,13,2,40,3,4,1,"GRAND THEFT AUTO: SAN ANDREAS, RACING GAMES, THE SIMS",MATHATHON
5314,3,5145,5,17,1,43,6,7,1,"HALO, MADDEN, NBA",TYPING
11862,3,5085,5,15,1,38,4,7,1,"NCAA, FIGHT NIGHT ROUND 3,  NASCAR FOR THE CUP",MICROTYPE PRO
2577,3,5119,5,14,1,46,6,8,1,"OBLIVION, ROCK BAND, GUITAR HERO",
18041,3,5125,5,16,2,54,6,6,1,"SCRABBLE, DANCE PRAISE AND SCATTER GORIES",
16555,3,5119,5,15,1,51,5,3,1,"MADDEN, MARIO KART",
7300,3,21111,21,16,2,46,6,9,0,,
5962,3,21179,21,13,1,29,2,4,1,"COMBAT FLIGHT SIMULATOR 2, HALO 1, MEDAL OF HONOR",
9439,3,21073,21,14,1,38,4,5,1,"MLB 07 FOR PSP, TIGER WOODS FOR PS2, MADDEN 08 FOR PS2",
1501,3,21111,21,15,2,33,1,4,1,"MIDNIGHT CLUB UNDERGROUND, PACMAN",DON'T REMEMBER THE NAME OF IT
5958,3,21111,21,14,2,35,3,2,1,DK,
2507,3,21111,21,16,1,45,5,5,1,"HALO 3,GEARS OF WAR, NCAA FOOTBALL 08",RUNE
16567,3,21111,21,13,1,45,3,8,1,"HALO 3, RUNESCAPE",MATH GAMES AND MUSIC GAMES
3429,4,41051,41,14,2,38,3,3,1,"MARIO BROTHERS, WII SPORTS, RESIDENT EVIL 3",DON'T REMEMBER
17095,4,41051,41,14,1,51,6,7,1,"HALO 3, GUITAR HERO 3,",
17825,4,41051,41,13,2,45,7,7,1,"THE SIMS, MARIO RACING GAMES,",
17096,4,41051,41,14,1,35,3,3,1,"RUNESCAPE, KINDGDOM HEARTS, LEGEND OF DRAGOON",
811,4,41051,41,17,2,32,3,1,1,LIZZIE MGUIRE BRANDY AND MR WISKERS SWEET LIFE OF ZACK AND CODY,
14262,4,41047,41,14,2,99,5,9,1,GUITAR HERO,
14117,4,41067,41,17,2,53,4,6,1,"GUITAR HERO, THE SIMS, NEED FOR SPEED",
7026,4,41067,41,15,1,53,5,9,1,"MADDEN, HALO, GHOST RECON",
3018,4,41005,41,14,1,46,3,4,1,"BURNOUT 3: TAKEDOWN, NARC, GRAND THEFT AUTO: SAN ANDREAS",
17933,4,41005,41,16,2,52,7,4,1,"I HAVE NO IDEA, I DON'T REALLY PLAY THEM ENOUGH TO HAVE FAVORITES",
19130,3,22071,22,13,1,41,6,8,1,MADDEN 2008,NO RESPONSE
16480,3,22075,22,13,1,40,6,8,1,"HALO3, MADDEN08|SAINT ROW",
1037,4,35001,35,12,2,44,6,7,1,"BLOONSHINE, MEMORY",
9646,4,35013,35,14,1,66,5,4,1,,
10696,4,35001,35,17,1,44,4,8,1,"NEED FOR SPEED PRO STREET, RESIDENT EVIL 4, SOCOM US NAVY SEALS",
1649,4,35045,35,14,2,32,5,4,1,"GUITAR HERO, GRAND THEFT AUTO, TETRIS",
18094,4,35057,35,15,2,55,6,8,1,,
16668,4,35013,35,17,2,42,5,5,1,"ASSASSIN'SS CREED, HALO, SONIC THE HEDGEHOG",
7776,4,35001,35,16,1,66,1,4,1,"GRAND THEFT AUTO, HALO",
2434,2,27147,27,13,2,50,4,6,1,"GUY- YA, ZWINKY",
12297,2,27039,27,14,1,39,5,6,1,WHATEVER IS ON,SUDUKU
13694,1,25023,25,13,1,46,5,6,1,"WORLD OF WARCRAFT, RESIDENT EVEL 4,  DANCE DANCE REVOLUTION",
11990,1,25005,25,16,2,46,3,6,1,"HALO, ROCK BAND, TONY HAWK 3",
3161,1,25023,25,12,1,27,3,7,1,"MX VS. ATV UNLEASHED, NHL HOCKEY 2K7, BURNOUT LEGENDS",
6440,1,25023,25,12,1,32,2,9,1,"POOL, RACECAR, BASKETBALL",
16489,1,25023,25,15,2,44,5,7,1,DINER DASH,MATH GAME AND ONE ABOUT BEING ABDUCTED.
8505,4,53063,53,14,1,57,5,4,1,"HALO2, LORD OF THE RINGS: BATTLE FOR MIDDLE EARTH 2, MARIO SUNSHINE",
